_id,market_id,market_type,market_name,address1,city,state,zip_code,latitude,longitude,phone,phone_ext,county
2179,4085,Farm Market,Merritt Farmers Market,2801 Douglas Run Rd,Elizabeth,PA,15037,40.2317339,-79.8184129,,,Allegheny
2180,4088,Farm Market,Brighton Heights - Citi Parks Winter Market,3515 McClure Ave,Pittsburgh,PA,15212,40.4792549,-80.035832,,,Allegheny
2181,4089,Farm Market,South Side - Citi Parks Winter Market,202 Bedford Square,Pittsburgh,PA,15203,40.4291613,-79.9864436,,,Allegheny
2182,4090,Farm Market,Greenfield - Citi Parks Winter Market,745 Greenfield Ave,Greenfield,PA,15207,40.4241773,-79.9368447,,,Allegheny
2183,4111,Farm Market,Brentwood Farmers Market,3501 Brownsville Rd,Pittsburgh,PA,15227,40.374944,-79.9750059,,,Allegheny
2184,4117,Farm Market,Plum St Saturday Morning Market,100 North 1st Ave,Elizabeth,PA,15037,40.2726119,-79.887622,,,Allegheny
2185,3940,Farm Stand,CCR Gardens,181 Marshall Dr,McKeesport,PA,15132,40.3320931,-79.8246717,,,Allegheny
2186,3977,Farm Market,Plum Borough Farmers Market,New Texas Rd,Plum Borough,PA,15239,40.4753508,-79.7340877,,,Allegheny
2187,3736,Farm Market,Wilkinsburg Farmers Market,739 Penn Ave,Wilkinsburg,PA,15221,40.443556,-79.883681,,,Allegheny
2188,3753,Farm Market,Hampton Farmers Market,3101 McCully Rd,Allison Park,PA,15101,40.582594,-79.934791,,,Allegheny
2189,3817,Farm Stand,Kaelin Farms Market,2547 Brandt School Road,Wexford,PA,15090,40.606884,-80.0887179,,,Allegheny
2190,3852,Farm Market,Oakmont Farmers Market,600 Allegheny River Blvd,Oakmont,PA,15139,40.5191919,-79.8422439,,,Allegheny
2191,3910,Farm Market,Dillner Family Farm Market,80 Oak Rd,Gibsonia,PA,15044,40.622796,-79.900163,7244446594,,Allegheny
2192,3932,Farm Market,Farmers Market at The Block,8013 McKnight Rd,Pittsburgh,PA,15237,40.551259,-80.0210399,,,Allegheny
2193,3514,Farm Stand,Decarlo's Market,560 MCKeesport Rd,Elizabeth,PA,15037,40.278307,-79.8755899,,,Allegheny
2194,3515,Farm Stand,Renzie Market,2200 Eden Park Blvd,McKeesport,PA,15132,40.3404079,-79.8272895,,,Allegheny
